,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
55,Sutherland Global Services,IT Services & Consulting ,3.5,7.5k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +72 other locations
56,Muthoot Fincorp,NBFC ,4.5,7.4k," Company Culture, Work Life Balance, Job Security ",, Bangalore / Bengaluru +885 other locations
57,Shriram Finance,NBFC ,4.0,7.5k," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Chennai +1014 other locations
58,Cipla,Pharma ,4.1,7.3k," Skill Development / Learning, Salary & Benefits, Company Culture ",, Mumbai +267 other locations
59,Dr. Reddy's,Pharma ,4.0,7.1k," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +196 other locations
60,HGS,BPO ,3.8,7.1k," Job Security, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +117 other locations
61,Wells Fargo,Financial Services ,3.8,7k," Work Life Balance, Job Security  "," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Bangalore / Bengaluru +25 other locations
62, Bajaj Finance,NBFC ,4.0,7.4k," Salary & Benefits, Skill Development / Learning, Job Security ",, Pune +847 other locations
63,ICICI Prudential Life Insurance,Insurance ,4.0,6.7k," Job Security, Skill Development / Learning, Salary & Benefits ",, Mumbai +484 other locations
64,JPMorgan Chase & Co.,Financial Services ,3.9,6.6k," Job Security, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +49 other locations
65,Optum Global Solutions,IT Services & Consulting ,4.0,6.6k," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +50 other locations
66,Jana Small Finance Bank,Banking ,3.8,6.5k,  , Promotions / Appraisal, Bangalore / Bengaluru +386 other locations
67,Delhivery,Logistics ,3.8,6.5k,  , Promotions / Appraisal, Gurgaon / Gurugram +698 other locations
68,L&T Construction,Engineering & Construction ,4.0,6.4k," Job Security, Skill Development / Learning, Salary & Benefits  "," Work Life Balance, Promotions / Appraisal", Chennai +401 other locations
69,Lupin,Pharma ,4.1,6.4k," Company Culture, Skill Development / Learning, Work Life Balance ",, Pune +188 other locations
70,Amazon Development Centre India,Internet ,4.0,6.7k," Company Culture, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Hyderabad / Secunderabad +118 other locations
71,Hexaware Technologies,IT Services & Consulting ,3.5,6.4k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +64 other locations
72,Hindustan Unilever ,FMCG ,4.2,6.3k," Skill Development / Learning, Company Culture, Job Security  ", Promotions / Appraisal, Mumbai +495 other locations
73,JSW Steel,Iron & Steel ,3.9,6.3k," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Ballari +169 other locations
74,Zydus Lifesciences,Pharma ,4.1,6.3k," Salary & Benefits, Job Security, Skill Development / Learning ",, Ahmedabad +168 other locations
75,Equitas Small Finance Bank,Banking ,4.4,6.2k," Company Culture, Work Life Balance, Job Security ",, Chennai +430 other locations
76,Sun Pharmaceutical Industries,Pharma ,4.0,6.1k," Salary & Benefits, Job Security, Skill Development / Learning ",, Vadodara +233 other locations
77,ITC,FMCG ,3.9,6.1k," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +351 other locations
78,KPMG India,Management Consulting ,3.5,6k,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Bangalore / Bengaluru +103 other locations
79,Ekart Logistics,Bangalore / Bengaluru +693 other locations,3.9,5.9k, Skill Development / Learning  , Promotions / Appraisal,
80,Axis Max Life Insurance,Insurance ,4.1,5.8k," Company Culture, Skill Development / Learning, Work Life Balance ",, New Delhi +455 other locations
81,Ujjivan Small Finance Bank,Banking ,4.1,5.8k," Company Culture, Work Life Balance, Job Security ",, Bangalore / Bengaluru +497 other locations
82,FIS,FinTech ,3.9,5.8k," Work Life Balance, Company Culture  ", Promotions / Appraisal, Pune +57 other locations
83,HCL Group,IT Services & Consulting ,3.6,5.7k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +92 other locations
84,Megha Engineering & Infrastructures,Engineering & Construction ,3.9,5.6k, Job Security  , Promotions / Appraisal, Hyderabad / Secunderabad +363 other locations
85,Indian Army,Defence & Aerospace ,4.7,5.5k," Job Security, Company Culture, Work Satisfaction ",, New Delhi +345 other locations
86,Oracle,Software Product ,3.7,5.5k," Work Life Balance, Job Security  "," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +53 other locations
87,IIFL Finance,NBFC ,4.0,5.5k," Work Life Balance, Company Culture, Job Security ",, Mumbai +749 other locations
88,Tata Projects,Engineering & Construction ,4.2,5.6k," Job Security, Salary & Benefits, Company Culture ",, Mumbai +257 other locations
89,eClerx,IT Services & Consulting ,3.3,5.3k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Pune +28 other locations
90,Virtusa Consulting Services,IT Services & Consulting ,3.7,5.3k,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Hyderabad / Secunderabad +50 other locations
91,Omega Healthcare,BPO ,3.7,5.3k,  ," Promotions / Appraisal, Salary & Benefits", Chennai +63 other locations
92,HSBC Group,Financial Services ,3.9,5.2k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Bangalore / Bengaluru +59 other locations
93,Udaan,Internet ,4.0,5.2k," Salary & Benefits, Work Life Balance, Skill Development / Learning  "," Job Security, Promotions / Appraisal", Bangalore / Bengaluru +349 other locations
94,Indiamart Intermesh,Internet ,3.6,5.1k,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Noida +163 other locations
95,Muthoot Finance,NBFC ,3.6,5.3k,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Bangalore / Bengaluru +703 other locations
96,Aurobindo Pharma,Pharma ,4.0,5.1k," Job Security, Work Life Balance, Salary & Benefits ",, Hyderabad / Secunderabad +101 other locations
97,Siemens,Industrial Automation ,4.0,5k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +146 other locations
98,Shapoorji Pallonji Group,Engineering & Construction ,4.1,5k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Mumbai +184 other locations
99,Bajaj Allianz Life Insurance,Insurance ,3.9,5.3k," Work Life Balance, Salary & Benefits ",, Pune +547 other locations
100,JLL,Real Estate ,4.1,5.3k," Company Culture, Work Life Balance, Job Security ",, Gurgaon / Gurugram +72 other locations
101,L&T Technology Services,IT Services & Consulting ,3.3,5.4k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +76 other locations
102,Standard Chartered,Banking ,3.6,5k,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Chennai +67 other locations
103,Coforge,IT Services & Consulting ,3.3,5.3k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Noida +94 other locations
104,Firstsource Solutions,BPO ,3.6,4.9k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +65 other locations
105,CGI Group,IT Services & Consulting ,4.0,4.9k," Work Life Balance, Job Security, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +41 other locations
106,GlobalLogic,IT Services & Consulting ,3.6,4.9k, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +53 other locations
107,ICICI Lombard General Insurance Company,Insurance ,3.6,4.8k,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Mumbai +292 other locations
108,Cyient,IT Services & Consulting ,3.7,4.8k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +42 other locations
109,Ashok Leyland,Automobile ,4.1,4.8k," Skill Development / Learning, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Chennai +230 other locations
110,BigBasket,Internet ,3.9,4.8k," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +125 other locations
111,Citicorp,Financial Services ,3.7,4.7k, Salary & Benefits  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Pune +65 other locations
112, UST,IT Services & Consulting ,3.8,4.7k, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +48 other locations
113,Mahindra Finance,NBFC ,4.1,4.7k," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Mumbai +689 other locations
114,DMart,Retail ,3.9,4.9k," Job Security, Company Culture  ", Promotions / Appraisal, Mumbai +229 other locations
115,Cholamandalam Investment & Finance,Financial Services ,3.9,5k, Salary & Benefits ,, Chennai +735 other locations
116,SMFG India Credit,NBFC ,4.0,4.7k," Salary & Benefits, Company Culture, Job Security ",, Mumbai +551 other locations
117,Hero MotoCorp,Automobile ,4.1,4.6k," Company Culture, Work Life Balance, Job Security ",, Gurgaon / Gurugram +336 other locations
118,Apollo Hospitals,Healthcare ,4.1,4.8k," Job Security, Company Culture, Skill Development / Learning ",, Chennai +201 other locations
119,JustDial,Internet ,3.5,4.6k,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Noida +206 other locations
120,Manappuram Finance,NBFC ,3.9,4.6k," Promotions / Appraisal, Skill Development / Learning ",, Bangalore / Bengaluru +577 other locations
121,Bosch Global Software Technologies,IT Services & Consulting ,3.9,4.8k," Work Life Balance, Job Security, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +36 other locations
122,Vivo,Consumer Electronics & Appliances ,4.1,4.5k," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Noida +400 other locations
123,Swiggy,Internet ,3.8,4.5k,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +213 other locations
124,IQVIA,Clinical Research ,3.9,4.4k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Bangalore / Bengaluru +58 other locations
125,BNY,Financial Services ,3.8,4.4k," Work Life Balance, Company Culture  "," Promotions / Appraisal, Job Security", Pune +22 other locations
126,Kalpataru Projects International,Engineering & Construction ,4.1,4.4k," Job Security, Company Culture, Work Life Balance ",, Mumbai +284 other locations
127,SBI Cards & Payment Services,Financial Services ,3.7,4.4k,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", New Delhi +394 other locations
128,Atos,IT Services & Consulting ,3.8,4.4k, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits", Pune +48 other locations
129,Eviden,IT Services & Consulting ,3.6,4.6k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Pune +33 other locations
130,Home Credit Finance,NBFC ,4.1,4.4k," Work Life Balance, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Gurgaon / Gurugram +125 other locations
131,TVS Motor,Automobile ,3.9,4.4k," Skill Development / Learning, Job Security, Salary & Benefits  ", Promotions / Appraisal, Hosur +323 other locations
132,CBRE,Real Estate ,4.1,4.3k," Skill Development / Learning, Company Culture, Work Life Balance ",, Hyderabad / Secunderabad +85 other locations
133,PolicyBazaar,Internet ,3.7,4.3k, Salary & Benefits  ," Work Life Balance, Company Culture, Work Satisfaction", Gurgaon / Gurugram +126 other locations
134,Persistent Systems,IT Services & Consulting ,3.6,4.3k,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Pune +41 other locations
135,Nagarro,IT Services & Consulting ,4.0,4.3k," Work Life Balance, Company Culture, Skill Development / Learning ",, Gurgaon / Gurugram +47 other locations
136,OPPO,Consumer Electronics & Appliances ,4.0,4.2k, Skill Development / Learning  ," Promotions / Appraisal, Job Security", Greater Noida +387 other locations
137,Amdocs,Software Product ,3.7,4.2k, Company Culture  ," Promotions / Appraisal, Work Satisfaction, Job Security", Pune +21 other locations
138,State Bank of India,Banking ,3.8,4.2k," Job Security, Salary & Benefits  ", Work Life Balance, Mumbai +551 other locations
139,JBM Group,Auto Components ,4.0,4.2k," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Gurgaon / Gurugram +100 other locations
140,Schneider Electric,Industrial Automation ,4.1,4.1k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +116 other locations
141,Nagarjuna Construction Company,Engineering & Construction ,4.1,4.1k," Job Security, Salary & Benefits, Company Culture ",, Hyderabad / Secunderabad +260 other locations
142,Bosch,Auto Components ,4.2,4.1k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +113 other locations
143,Hewlett Packard Enterprise,IT Services & Consulting ,4.2,4.1k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +96 other locations
144,Dell,Consumer Electronics & Appliances ,3.9,4.1k," Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +109 other locations
145,Ecom Express,Logistics ,3.8,4k,  ," Promotions / Appraisal, Job Security", Gurgaon / Gurugram +693 other locations
146,NTT Data,IT Services & Consulting ,3.8,4.2k," Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +61 other locations
147,KEC International,Engineering & Construction ,4.0,3.9k," Job Security, Salary & Benefits, Company Culture  ", Promotions / Appraisal, Mumbai +287 other locations
148,Mahindra Logistics,Logistics ,3.9,4k, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits", Mumbai +221 other locations
149,SBI Life Insurance Company,Insurance ,3.8,4.2k, Job Security  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Mumbai +581 other locations
150,Randstad,Recruitment ,3.7,3.9k,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Hyderabad / Secunderabad +308 other locations
151,Varun Beverages,Beverage ,4.0,3.8k," Job Security, Salary & Benefits  ", Promotions / Appraisal, New Delhi +331 other locations
152,CARS24 ,Internet ,3.5,3.8k,  ," Job Security, Promotions / Appraisal, Company Culture", Gurgaon / Gurugram +164 other locations
153,Hyundai Motor India Limited,Automobile ,4.2,3.8k," Job Security, Skill Development / Learning, Salary & Benefits ",, Chennai +272 other locations
154,Piramal Capital Housing Finance,NBFC ,4.2,4k," Company Culture, Skill Development / Learning, Salary & Benefits ",, Mumbai +360 other locations
155,Deutsche Bank,Banking ,3.8,3.8k," Work Life Balance, Job Security, Company Culture  "," Promotions / Appraisal, Skill Development / Learning", Pune +42 other locations
156,Havells,Electrical Equipment ,4.0,3.8k," Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Noida +226 other locations
157,ITC Infotech ,IT Services & Consulting ,3.6,3.7k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +63 other locations
158,EY Global Delivery Services ( EY GDS),Accounting & Auditing ,3.5,3.7k, Job Security  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Bangalore / Bengaluru +47 other locations
159,R1 RCM,BPO ,3.9,3.7k," Company Culture, Job Security  ", Promotions / Appraisal, New Delhi +42 other locations
160,Aditya Birla Fashion and Retail,Fashion & Textile ,4.1,3.9k," Job Security, Skill Development / Learning, Company Culture ",, Bangalore / Bengaluru +251 other locations
161,Bajaj Auto,Automobile ,3.8,3.7k,  , Promotions / Appraisal, Pune +288 other locations
162,Team Lease,Recruitment ,3.9,3.6k,  , Promotions / Appraisal, Bangalore / Bengaluru +370 other locations
163,Oyo Rooms,Hospitality ,3.2,3.6k,  ," Job Security, Work Satisfaction, Promotions / Appraisal", Gurgaon / Gurugram +119 other locations
164,Reliance Communications,Telecom ,4.0,3.6k," Skill Development / Learning, Company Culture, Work Life Balance  ", Promotions / Appraisal, Mumbai +455 other locations
165,Access Healthcare,Analytics & KPO ,3.9,3.6k," Job Security, Company Culture  ", Promotions / Appraisal, Chennai +48 other locations
166,Macleods Pharmaceuticals,Pharma ,3.6,3.6k, Job Security  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +115 other locations
167,John Deere,Industrial Machinery ,4.1,3.6k," Company Culture, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Pune +134 other locations
168,Hetero,Pharma ,3.8,3.6k, Job Security  ," Promotions / Appraisal, Salary & Benefits", Hyderabad / Secunderabad +59 other locations
169,Tata Communications,Telecom ,4.0,3.5k," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Pune +98 other locations
170,Tata AIA Life Insurance,Insurance ,4.0,3.5k," Job Security, Skill Development / Learning, Salary & Benefits ",, Mumbai +384 other locations
171,LG Electronics,Consumer Electronics & Appliances ,3.9,3.5k," Job Security, Skill Development / Learning, Salary & Benefits  ", Promotions / Appraisal, Pune +277 other locations
172,L&T Finance,NBFC ,3.9,3.7k, Salary & Benefits ,, Mumbai +529 other locations
173,Royal Enfield,Automobile ,4.2,3.5k," Company Culture, Work Life Balance, Work Satisfaction ",, Chennai +346 other locations
174,Intas Pharmaceuticals,Pharma ,4.1,3.7k," Job Security, Salary & Benefits, Work Life Balance ",, Ahmedabad +131 other locations
175,Thermax Limited,Industrial Machinery ,4.2,3.5k," Job Security, Company Culture, Skill Development / Learning ",, Pune +222 other locations
176,Aakash Educational Services,Education & Training ,3.4,3.4k,  ," Work Life Balance, Promotions / Appraisal, Work Satisfaction", New Delhi +230 other locations
177,VE Commercial Vehicles,Automobile ,4.0,3.4k," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Indore +144 other locations
178,Utkarsh Small Finance Bank,Banking ,3.8,3.4k,  , Promotions / Appraisal, Varanasi +352 other locations
179, Publicis Sapient,IT Services & Consulting ,3.5,3.4k,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Bangalore / Bengaluru +44 other locations
180,DCB Bank,Banking ,3.8,3.4k, Work Life Balance  , Promotions / Appraisal, Mumbai +326 other locations
181,Subros,Auto Components ,3.8,3.3k," Job Security, Skill Development / Learning, Company Culture  "," Salary & Benefits, Promotions / Appraisal", Noida +79 other locations
182,Lenskart,Internet ,3.2,3.3k,  ," Promotions / Appraisal, Company Culture, Work Life Balance", New Delhi +211 other locations
183,American Express,Financial Services ,4.1,3.3k," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Gurgaon / Gurugram +49 other locations
184,Berger Paints,Chemicals ,3.7,3.3k,  ," Promotions / Appraisal, Company Culture, Work Life Balance", Kolkata +302 other locations
185,PVR Inox,Media & Entertainment ,3.9,3.3k, Skill Development / Learning  , Promotions / Appraisal, New Delhi +148 other locations
186,Bank of America,Banking ,4.2,3.3k," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Gurgaon / Gurugram +32 other locations
187,Hindalco Industries,Metals & Mining ,4.2,3.3k," Job Security, Work Life Balance, Skill Development / Learning ",, Sambalpur +112 other locations
188,Automatic Data Processing (ADP),Software Product ,4.0,3.3k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +37 other locations
189,Jindal Steel and Power,Iron & Steel ,3.9,3.3k, Skill Development / Learning  , Promotions / Appraisal, Angul +152 other locations
190,HDFC Ergo General Insurance,Insurance ,3.9,3.4k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Mumbai +281 other locations
191,Alembic Pharmaceuticals,Pharma ,4.0,3.3k," Salary & Benefits, Work Life Balance ",, Vadodara +171 other locations
192,Samvardhana Motherson Group,Auto Components ,3.7,3.3k, Job Security  ," Company Culture, Work Life Balance, Work Satisfaction", Noida +85 other locations
193,Godrej & Boyce Manufacturing,Consumer Electronics & Appliances ,3.9,3.3k, Job Security  , Promotions / Appraisal, Mumbai +143 other locations
194,Pidilite Industries,Chemicals ,4.3,3.3k," Job Security, Company Culture, Work Life Balance ",, Mumbai +279 other locations
195,RBL Bank,Banking ,3.6,3.3k,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +253 other locations
196,Sodexo,Facility Management Services ,4.1,3.2k," Work Life Balance, Company Culture, Job Security ",, Mumbai +146 other locations
197,Cummins,Industrial Machinery ,4.3,3.4k," Company Culture, Work Life Balance, Skill Development / Learning ",, Pune +100 other locations
198,State Street Corporation,Financial Services ,3.7,3.2k,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +29 other locations
199,Abbott,Pharma ,4.1,3.2k," Company Culture, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +192 other locations
200,Bharat Electronics,Electronics Manufacturing ,4.2,3.2k," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Bangalore / Bengaluru +72 other locations
201,Viatris,Pharma ,4.1,3.4k," Salary & Benefits, Job Security, Company Culture ",, Hyderabad / Secunderabad +75 other locations
202,Maersk,Logistics ,4.1,3.2k," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Pune +44 other locations
203,Dabur,FMCG ,3.9,3.2k," Salary & Benefits, Job Security  ", Promotions / Appraisal, New Delhi +291 other locations
204,Carelon Global Solutions,Software Product ,3.9,3.4k," Company Culture, Job Security, Salary & Benefits  ", Promotions / Appraisal, Bangalore / Bengaluru +19 other locations
205,Synechron,IT Services & Consulting ,3.5,3.2k,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Pune +31 other locations
206,Reliance Digital,Retail ,4.1,3.1k," Skill Development / Learning, Job Security, Company Culture ",, Mumbai +354 other locations
207,Escorts Kubota Limited,Automobile ,4.1,3.1k," Company Culture, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Faridabad +142 other locations
208,Birlasoft,IT Services & Consulting ,3.6,3.1k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Pune +45 other locations
209,Cogent E Services,Noida +47 other locations,3.2,3.1k,  ," Promotions / Appraisal, Salary & Benefits, Company Culture",
210,Ipca Laboratories,Pharma ,3.9,3.1k," Job Security, Work Life Balance, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Mumbai +147 other locations
211,Glenmark Pharmaceuticals,Pharma ,3.9,3.1k,  , Promotions / Appraisal, Mumbai +156 other locations
212,"NTT DATA, Inc.",IT Services & Consulting ,4.0,3.1k," Work Life Balance, Job Security, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +32 other locations
213,Kogta Financial India Limited,NBFC ,4.7,3.1k," Company Culture, Work Life Balance, Work Satisfaction ",, Jaipur +231 other locations
214,Ford Motor,Automobile ,4.3,3.1k," Company Culture, Work Life Balance, Work Satisfaction ",, Chennai +123 other locations
215,Johnson Controls,Industrial Automation ,3.5,3.1k,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Pune +52 other locations
216,Motilal Oswal Financial Services,Financial Services ,3.6,3.1k, Skill Development / Learning  ," Work Satisfaction, Promotions / Appraisal, Work Life Balance", Mumbai +150 other locations
217,Jubilant Foods Works,Hospitality ,3.7,3.3k,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", New Delhi +220 other locations
218,Reliance Projects & Property Management Services,IT Services & Consulting ,4.0,3.1k," Work Life Balance, Job Security, Skill Development / Learning  ", Promotions / Appraisal, Kolkata +566 other locations
219,Aditya Birla Sun Life Insurance,Insurance ,4.0,3k," Company Culture, Work Life Balance, Job Security ",, Mumbai +437 other locations
220,UBS,Financial Services ,3.9,3k," Work Life Balance, Company Culture  ", Promotions / Appraisal, Pune +19 other locations
221,Indian Oil Corporation,Oil & Gas ,4.4,3.1k," Company Culture, Work Life Balance, Work Satisfaction ",, New Delhi +277 other locations
222,24/7 Customer,Software Product ,3.5,3k,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Bangalore / Bengaluru +35 other locations
223,Future Group,Retail ,4.2,3k," Company Culture, Work Life Balance, Skill Development / Learning ",, Mumbai +204 other locations
224,JK Cement,Building Material ,4.1,3k," Salary & Benefits, Company Culture, Work Life Balance ",, New Delhi +294 other locations
225,Alkem Laboratories,Pharma ,3.9,3k,  ," Job Security, Promotions / Appraisal", Mumbai +175 other locations
226,MRF Tyres,Auto Components ,3.6,3k, Job Security  ," Company Culture, Work Satisfaction, Work Life Balance", Chennai +181 other locations
227,Marpu Foundation ,Non-Profit ,4.8,3k," Company Culture, Work Life Balance, Work Satisfaction ",, Hyderabad / Secunderabad +47 other locations
228,Vishal Mega Mart,Retail ,3.7,3k, Salary & Benefits  ," Company Culture, Work Satisfaction, Work Life Balance", New Delhi +345 other locations
229,KPIT Technologies,Software Product ,3.4,3k,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Pune +40 other locations
230,Honda Motorcycle & Scooter ,Automobile ,4.1,3k," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Gurgaon / Gurugram +260 other locations
231,IGT Solutions,IT Services & Consulting ,3.3,3k,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", New Delhi +46 other locations
232,Hindustan Coca Cola Beverages,Beverage ,4.1,3k," Skill Development / Learning, Salary & Benefits, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +243 other locations
233,HARMAN,Consumer Electronics & Appliances ,3.8,2.9k, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Bangalore / Bengaluru +36 other locations
234,Grasim Industries,Building Material ,4.0,2.9k," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Bharuch +200 other locations
235,Ceat Tyres,Auto Components ,4.0,2.9k," Job Security, Company Culture, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Nagpur +127 other locations
236,Tata Capital,NBFC ,4.0,2.9k," Job Security, Company Culture, Skill Development / Learning ",, Mumbai +288 other locations
237,Indian Air Force,Defence & Aerospace ,4.6,2.9k," Job Security, Skill Development / Learning, Salary & Benefits ",, New Delhi +128 other locations
238,Reliance Nippon Life Insurance,Insurance ,3.6,2.9k,  ," Work Satisfaction, Job Security, Promotions / Appraisal", Mumbai +460 other locations
239,PNB MetLife,Insurance ,3.4,3.1k,  ," Work Satisfaction, Job Security, Company Culture", New Delhi +371 other locations
240,ABB,Industrial Machinery ,4.1,2.9k," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +100 other locations
241,Aarti Industries,Agro Chemicals ,4.1,3.1k," Job Security, Work Life Balance, Skill Development / Learning ",, Bharuch +52 other locations
242,DTDC Express,Logistics ,3.7,2.9k,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", New Delhi +250 other locations
243,Kotak Mahindara Life Insurance,Insurance ,3.7,3k, Job Security  ," Promotions / Appraisal, Work Satisfaction", Mumbai +229 other locations
244,Kyndryl,IT Services & Consulting ,4.0,3.1k," Work Life Balance, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +32 other locations
245,Conduent,BPO ,3.4,2.8k,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Bangalore / Bengaluru +32 other locations
246,InterGlobe Aviation,Aviation ,3.6,2.8k,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", New Delhi +96 other locations
247,GeBBS Healthcare Solutions,Healthcare ,3.7,2.8k, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Mumbai +23 other locations
248,Square Yards,Internet ,3.7,2.8k," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Gurgaon / Gurugram +48 other locations
249,RSPL Group,FMCG ,4.1,2.8k," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Kanpur +227 other locations
250,Tata AIG,Insurance ,4.1,2.8k, Job Security  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +244 other locations
251,Alstom Transportation,Engineering & Construction ,3.7,2.7k,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +73 other locations
252,CMS IT Services,IT Services & Consulting ,3.1,2.7k," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Mumbai +150 other locations
