,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
1068,General Mills,Food Processing ,4.2,816," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +48 other locations
1069,Balkrishna Industries,Auto Components ,4.0,816," Job Security, Salary & Benefits ",, Bhuj +29 other locations
1070,Xebia,IT Services & Consulting ,3.5,811,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Gurgaon / Gurugram +20 other locations
1071,Lumina Datamatics,IT Services & Consulting ,3.2,811,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Mumbai +18 other locations
1072,Consolidated Contractors,Engineering & Construction ,4.4,824," Work Satisfaction, Company Culture, Work Life Balance ",, Mumbai +52 other locations
1073,Shriram General Insurance,Insurance ,3.5,809,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Jaipur +181 other locations
1074,Advantmed,Healthcare ,4.1,813," Skill Development / Learning, Company Culture, Job Security ",, Ahmedabad +10 other locations
1075,Natco Pharma,Pharma ,4.0,808," Job Security, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Hyderabad / Secunderabad +59 other locations
1076,Navitasys India,Electronics Manufacturing ,4.1,826," Salary & Benefits, Work Life Balance, Job Security ",, Bawal +19 other locations
1077,Nirma,FMCG ,4.2,806," Job Security, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Bhavnagar +61 other locations
1078,Mahindra First Choice Wheels,Internet ,3.8,805,  ," Promotions / Appraisal, Job Security", Mumbai +115 other locations
1079,Napino Auto & Electronics,Auto Components ,3.9,804, Work Life Balance  , Promotions / Appraisal, Gurgaon / Gurugram +17 other locations
1080,Bosch Chassis Systems,Auto Components ,4.1,804," Company Culture, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Pune +22 other locations
1081,Tata Chemicals,Chemicals ,4.1,804," Job Security, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Jamnagar +82 other locations
1082,HomeLane,Architecture & Interior Design ,3.4,804,  ," Job Security, Promotions / Appraisal, Work Life Balance", Bangalore / Bengaluru +35 other locations
1083,Test Yantra Software Solutions,IT Services & Consulting ,3.2,803,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bangalore / Bengaluru +18 other locations
1084,Reliance Power,Power ,4.2,804," Job Security, Work Life Balance, Work Satisfaction ",, Singrauli +37 other locations
1085,Fortrea Development India Private Limited,Clinical Research ,3.9,803," Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +9 other locations
1086,Feedback Infrastructure Services,Engineering & Construction ,3.5,802,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Gurgaon / Gurugram +126 other locations
