,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
166,Macleods Pharmaceuticals, Mumbai +115 other locations,Pharma ,3.6,3.6k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
167,John Deere, Pune +134 other locations,Industrial Machinery ,4.1,3.6k," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
168,Hetero, Hyderabad / Secunderabad +59 other locations,Pharma ,3.8,3.6k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
169,Tata Communications, Pune +98 other locations,Telecom ,4.0,3.5k," Highly Rated For Job Security, Company Culture, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
170,Tata AIA Life Insurance, Mumbai +384 other locations,Insurance ,4.0,3.5k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits ",
171,LG Electronics, Pune +277 other locations,Consumer Electronics & Appliances ,3.9,3.5k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits  ", Rated For Promotions / Appraisal
172,L&T Finance, Mumbai +529 other locations,NBFC ,3.9,3.7k, Highly Rated For Salary & Benefits ,
173,Royal Enfield, Chennai +346 other locations,Automobile ,4.2,3.5k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
174,Intas Pharmaceuticals, Ahmedabad +131 other locations,Pharma ,4.1,3.7k," Highly Rated For Job Security, Salary & Benefits, Work Life Balance ",
175,Thermax Limited, Pune +222 other locations,Industrial Machinery ,4.2,3.5k," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
176,Aakash Educational Services, New Delhi +230 other locations,Education & Training ,3.4,3.4k,  ," Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction"
177,VE Commercial Vehicles, Indore +144 other locations,Automobile ,4.0,3.4k," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
178,Utkarsh Small Finance Bank, Varanasi +352 other locations,Banking ,3.8,3.4k,  , Rated For Promotions / Appraisal
179, Publicis Sapient, Bangalore / Bengaluru +44 other locations,IT Services & Consulting ,3.5,3.4k,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
180,DCB Bank, Mumbai +326 other locations,Banking ,3.8,3.4k, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
181,Subros, Noida +79 other locations,Auto Components ,3.8,3.3k," Highly Rated For Job Security, Skill Development / Learning, Company Culture  "," Rated For Salary & Benefits, Promotions / Appraisal"
182,Lenskart, New Delhi +211 other locations,Internet ,3.2,3.3k,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
183,American Express, Gurgaon / Gurugram +49 other locations,Financial Services ,4.1,3.3k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
184,Berger Paints, Kolkata +302 other locations,Chemicals ,3.7,3.3k,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
185,PVR Inox, New Delhi +148 other locations,Media & Entertainment ,3.9,3.3k, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
186,Bank of America, Gurgaon / Gurugram +32 other locations,Banking ,4.2,3.3k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
187,Hindalco Industries, Sambalpur +112 other locations,Metals & Mining ,4.2,3.3k," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
188,Automatic Data Processing (ADP), Hyderabad / Secunderabad +37 other locations,Software Product ,4.0,3.3k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
189,Jindal Steel and Power, Angul +152 other locations,Iron & Steel ,3.9,3.3k, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
190,HDFC Ergo General Insurance, Mumbai +281 other locations,Insurance ,3.9,3.4k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
191,Alembic Pharmaceuticals, Vadodara +171 other locations,Pharma ,4.0,3.3k," Highly Rated For Salary & Benefits, Work Life Balance ",
192,Samvardhana Motherson Group, Noida +85 other locations,Auto Components ,3.7,3.3k, Highly Rated For Job Security  ," Rated For Company Culture, Work Life Balance, Work Satisfaction"
193,Godrej & Boyce Manufacturing, Mumbai +143 other locations,Consumer Electronics & Appliances ,3.9,3.3k, Highly Rated For Job Security  , Rated For Promotions / Appraisal
194,RBL Bank, Mumbai +253 other locations,Banking ,3.6,3.3k,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
195,Pidilite Industries, Mumbai +279 other locations,Chemicals ,4.3,3.3k," Highly Rated For Job Security, Company Culture, Work Life Balance ",
196,Sodexo, Mumbai +146 other locations,Facility Management Services ,4.1,3.2k," Highly Rated For Work Life Balance, Company Culture, Job Security ",
197,Cummins, Pune +100 other locations,Industrial Machinery ,4.3,3.4k," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
198,State Street Corporation, Bangalore / Bengaluru +29 other locations,Financial Services ,3.7,3.2k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
199,Abbott, Mumbai +192 other locations,Pharma ,4.1,3.2k," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
200,Bharat Electronics, Bangalore / Bengaluru +72 other locations,Electronics Manufacturing ,4.2,3.2k," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  ", Rated For Promotions / Appraisal
201,Viatris, Hyderabad / Secunderabad +75 other locations,Pharma ,4.1,3.4k," Highly Rated For Salary & Benefits, Job Security, Company Culture ",
202,Maersk, Pune +44 other locations,Logistics ,4.1,3.2k," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
203,Dabur, New Delhi +291 other locations,FMCG ,3.9,3.2k," Highly Rated For Salary & Benefits, Job Security  ", Rated For Promotions / Appraisal
204,Carelon Global Solutions, Bangalore / Bengaluru +19 other locations,Software Product ,3.9,3.4k," Highly Rated For Company Culture, Job Security, Salary & Benefits  ", Rated For Promotions / Appraisal
205,Synechron, Pune +31 other locations,IT Services & Consulting ,3.5,3.2k,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
206,Reliance Digital, Mumbai +354 other locations,Retail ,4.1,3.1k," Highly Rated For Skill Development / Learning, Job Security, Company Culture ",
207,Escorts Kubota Limited, Faridabad +142 other locations,Automobile ,4.1,3.1k," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
208,Birlasoft, Pune +45 other locations,IT Services & Consulting ,3.6,3.1k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
209,Cogent E Services,,Noida +47 other locations,3.2,3.1k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
210,Ipca Laboratories, Mumbai +147 other locations,Pharma ,3.9,3.1k," Highly Rated For Job Security, Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
211,Glenmark Pharmaceuticals, Mumbai +156 other locations,Pharma ,3.9,3.1k,  , Rated For Promotions / Appraisal
212,"NTT DATA, Inc.", Bangalore / Bengaluru +32 other locations,IT Services & Consulting ,4.0,3.1k," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
213,Kogta Financial India Limited, Jaipur +231 other locations,NBFC ,4.7,3.1k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
214,Ford Motor, Chennai +123 other locations,Automobile ,4.3,3.1k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
215,Johnson Controls, Pune +52 other locations,Industrial Automation ,3.5,3.1k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
216,Motilal Oswal Financial Services, Mumbai +150 other locations,Financial Services ,3.6,3.1k, Highly Rated For Skill Development / Learning  ," Rated For Work Satisfaction, Promotions / Appraisal, Work Life Balance"
217,Jubilant Foods Works, New Delhi +220 other locations,Hospitality ,3.7,3.3k,  ," Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction"
218,Reliance Projects & Property Management Services, Kolkata +566 other locations,IT Services & Consulting ,4.0,3.1k," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
219,Aditya Birla Sun Life Insurance, Mumbai +437 other locations,Insurance ,4.0,3k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
220,UBS, Pune +19 other locations,Financial Services ,3.9,3k," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
221,Indian Oil Corporation, New Delhi +277 other locations,Oil & Gas ,4.4,3.1k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
222,24/7 Customer, Bangalore / Bengaluru +35 other locations,Software Product ,3.5,3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
223,Future Group, Mumbai +204 other locations,Retail ,4.2,3k," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
224,JK Cement, New Delhi +294 other locations,Building Material ,4.1,3k," Highly Rated For Salary & Benefits, Company Culture, Work Life Balance ",
225,Alkem Laboratories, Mumbai +175 other locations,Pharma ,3.9,3k,  ," Rated For Job Security, Promotions / Appraisal"
226,MRF Tyres, Chennai +181 other locations,Auto Components ,3.6,3k, Highly Rated For Job Security  ," Rated For Company Culture, Work Satisfaction, Work Life Balance"
227,Marpu Foundation , Hyderabad / Secunderabad +47 other locations,Non-Profit ,4.8,3k," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
228,Vishal Mega Mart, New Delhi +345 other locations,Retail ,3.7,3k, Highly Rated For Salary & Benefits  ," Rated For Company Culture, Work Satisfaction, Work Life Balance"
229,KPIT Technologies, Pune +40 other locations,Software Product ,3.4,3k,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
230,Honda Motorcycle & Scooter , Gurgaon / Gurugram +260 other locations,Automobile ,4.1,3k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
231,IGT Solutions, New Delhi +46 other locations,IT Services & Consulting ,3.3,3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
232,Hindustan Coca Cola Beverages, Bangalore / Bengaluru +243 other locations,Beverage ,4.1,3k," Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
233,HARMAN, Bangalore / Bengaluru +36 other locations,Consumer Electronics & Appliances ,3.8,2.9k, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
234,Grasim Industries, Bharuch +200 other locations,Building Material ,4.0,2.9k," Highly Rated For Job Security, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
235,Ceat Tyres, Nagpur +127 other locations,Auto Components ,4.0,2.9k," Highly Rated For Job Security, Company Culture, Skill Development / Learning  "," Rated For Promotions / Appraisal, Salary & Benefits"
236,Tata Capital, Mumbai +288 other locations,NBFC ,4.0,2.9k," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
237,Indian Air Force, New Delhi +128 other locations,Defence & Aerospace ,4.6,2.9k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits ",
238,Reliance Nippon Life Insurance, Mumbai +460 other locations,Insurance ,3.6,2.9k,  ," Rated For Work Satisfaction, Job Security, Promotions / Appraisal"
239,PNB MetLife, New Delhi +371 other locations,Insurance ,3.4,3.1k,  ," Rated For Work Satisfaction, Job Security, Company Culture"
240,ABB, Bangalore / Bengaluru +100 other locations,Industrial Machinery ,4.1,2.9k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
241,Aarti Industries, Bharuch +52 other locations,Agro Chemicals ,4.1,3.1k," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
242,DTDC Express, New Delhi +250 other locations,Logistics ,3.7,2.9k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
243,Kotak Mahindara Life Insurance, Mumbai +229 other locations,Insurance ,3.7,3k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction"
244,Kyndryl, Bangalore / Bengaluru +32 other locations,IT Services & Consulting ,4.0,3.1k," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  ", Rated For Promotions / Appraisal
245,Conduent, Bangalore / Bengaluru +32 other locations,BPO ,3.4,2.8k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
246,InterGlobe Aviation, New Delhi +96 other locations,Aviation ,3.6,2.8k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
247,GeBBS Healthcare Solutions, Mumbai +23 other locations,Healthcare ,3.7,2.8k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
248,Square Yards, Gurgaon / Gurugram +48 other locations,Internet ,3.7,2.8k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
249,RSPL Group, Kanpur +227 other locations,FMCG ,4.1,2.8k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
250,Tata AIG, Mumbai +244 other locations,Insurance ,4.1,2.8k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
251,Alstom Transportation, Bangalore / Bengaluru +73 other locations,Engineering & Construction ,3.7,2.7k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
252,CMS IT Services, Mumbai +150 other locations,IT Services & Consulting ,3.1,2.7k," Highly Rated For Job Security, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
253,Max Healthcare, New Delhi +68 other locations,Healthcare ,4.0,2.7k," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
254,Tata Technologies, Pune +48 other locations,Engineering & Construction ,3.6,2.7k," Highly Rated For Work Life Balance, Job Security, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
255,NatWest Group, Gurgaon / Gurugram +23 other locations,Banking ,4.0,2.9k," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning ",
256,UPL, Ankleshwar +175 other locations,Agro Chemicals ,4.1,2.7k," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
257,UNO Minda, Pune +97 other locations,Auto Components ,4.0,2.7k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
258,UnitedHealth, Hyderabad / Secunderabad +16 other locations,Healthcare ,4.0,2.7k," Highly Rated For Salary & Benefits, Company Culture, Skill Development / Learning ",
259,Amazon Transportation Services,,Hyderabad / Secunderabad +215 other locations,4.1,2.7k,,
260,PepsiCo, Hyderabad / Secunderabad +256 other locations,Food Processing ,4.0,2.7k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
261,Barclays, Pune +36 other locations,Banking ,3.8,2.7k," Highly Rated For Job Security, Salary & Benefits  "," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
262,Whitehat jr, Mumbai +47 other locations,EdTech ,3.4,2.7k,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
263,Titan Company, Bangalore / Bengaluru +165 other locations,Retail ,4.3,2.7k," Highly Rated For Company Culture, Job Security, Work Life Balance ",
264,Walmart, Bangalore / Bengaluru +86 other locations,Retail ,3.7,2.7k,  ," Rated For Promotions / Appraisal, Work Satisfaction"
265,Varroc Group, Pune +59 other locations,Auto Components ,3.6,2.7k,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
266,ACC, Mumbai +245 other locations,Building Material ,3.9,2.6k,  , Rated For Promotions / Appraisal
267,ArcelorMittal Nippon Steel, Surat +74 other locations,Iron & Steel ,4.1,2.8k," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
